subject,predicate,object,metadata
sundial,valued as,decorative objects literary metaphors objects of mathematical study,"In addition to their time-telling function , sundials are valued as decorative objects , literary metaphors , objects of mathematical study ."
sculpture,composed of,two bronze semicircles one set inside at right angles to other slim bronze rod that extends from one end of outer semicircle to other that serves as gnomon ( indicator ),"It is common for modeled sculpture instead of direct carving . The sculpture is composed of two bronze semicircles , one set inside at right angles to other slim bronze rod that extends from one end of outer semicircle to other that serves as gnomon ( indicator ) ."
gnomon,resembling,bow string,"The bowstring equatorial sundial derives its name from appearance of shadow-casting gnomon , which resembles bow string ."
nodus,follows motion of,single point of light or shadow,"Another type of sundial follows motion of single point of light or shadow, which may be called nodus."
sundial,may follow,sharp tip of gnomons shadow,"For example, sundial may follow sharp tip of gnomons shadow, e.g. shadow-tip of vertical of sundial mottoes have often been published through centuries."
sundial,is made for latitude in which it is being used,horizontal-plate sundial,"If horizontal-plate sundial is made for latitude in which it is being used, if it is mounted with its plate horizontal its gnomon pointing to celestial pole that is above horizon, then it shows correct time in apparent solar time."
sundial,shows correct time in apparent solar time,when gnomon pointing to celestial pole that is above horizon,"If horizontal-plate sundial is made for latitude in which it is being used, if it is mounted with its plate horizontal its gnomon pointing to celestial pole that is above horizon, then it shows correct time in apparent solar time."
Carefree Sundial,was designed by,Joe Wong and John I. Yellott,"The Carefree Sundial, in Carefree, Arizona, was designed by architect Joe Wong solar engineer John I. Yellott (1908-1986)."
Carefree Sundial,was erected in,Sundial Circle plaza in 1959,"The Carefree Sundial, in Carefree, Arizona, was designed by architect Joe Wong solar engineer John I. Yellott (1908-1986). It was erected in Sundial Circle plaza in 1959."
Carefree Sundial,is made from steel frame covered in anodized copper,Carefree Sundial,"The Carefree Sundial, in Carefree, Arizona, was designed by architect Joe Wong solar engineer John I. Yellott (1908-1986). It was erected in Sundial Circle plaza in 1959. It is made from steel frame covered in anodized copper."
gnomon,acted as heat collecting plate for local heating scheme,Carefree Sundial,"As originally designed 1200mm wide gnomon acted as heat collecting plate for local heating scheme. It measures in diameter. The Carefree Sundial, in Carefree, Arizona, was designed by architect Joe Wong solar engineer John I. Yellott (1908-1986). It was erected in Sundial Circle plaza in 1959. It is made from steel frame covered in anodized copper."
Sundial,is made from,steel frame covered in anodized copper,The sundial is made from steel frame covered in anodized copper .
Sundial,has gnomon,1200mm wide,As originally designed 1200mm wide gnomon acted as heat collecting plate for local heating scheme . It measures in diameter .
Gnomon,stands above,plaza,"The metal gnomon , shadow-casting portion of dial , stands above plaza extends ."
Sundial,tells time of day,when there is sunlight by apparent position of Sun in sky,The sundial is device that tells time of day when there is sunlight by apparent position of Sun in sky .
Sundial,consists of,flat plate (dial) gnomon,"In narrowest sense of word , it consists of flat plate ( dial ) gnomon , which casts shadow onto dial ."
Gnomon,casts shadow onto,dial,"As Sun appears to move across sky , shadow aligns with different hour-lines , which are marked on dial to indicate time of day ."
Sundial,Analemmatic sundial,type of horizontal sundial,"The style is time-telling edge of gnomon , though single point or nodus may be used . The gnomon casts Analemmatic sundial Analemmatic sundials are type of horizontal sundial that has vertical gnomon hour markers positioned in elliptical pattern ."
Gnomon,is not fixed,must change position daily,The gnomon is not fixed must change position daily to accurately indicate time of day . Hence there are no hour lines on dial time of day is read only on ellipse .
gnomon,is not fixed,must change position daily,"The gnomon is not fixed must change position daily to accurately indicate time of day . Hence there are no hour lines on dial time of day is read only on ellipse . As with most sundials , analemmatic sundials mark solar time rather than clock time . An analemmatic sundial is completely defined by Analemmatic sundials are sometimes designed with human as gnomon . In this case size of hour marker ellipse attached to aligned with each other , are oriented so they show same time . This allows directions of cardinal points apparent solar time to be determined simultaneously , without requiring clock . Sundial A sundial is device that tells time of day when there is sunlight by apparent position of Sun in sky . In narrowest sense of word , it consists of flat plate ( dial ) gnomon , which casts shadow onto dial . As Sun appears to move across sky , shadow aligns solar energy which was converted into heat by three copper tubes , which pumped heated water into local heating system for neighbouring office block . To facilitate absorption top of gnomons length is coated with special paint . A smaller 148 scale model is on site along with equation of time table . Various communities have made largest sundial in claims ."
gnomon,is sometimes designed with human,as gnomon,"In this case size of hour marker ellipse attached to aligned with each other , are oriented so they show same time . This allows directions of cardinal points apparent solar time to be determined simultaneously , without requiring clock . Sundial A sundial is device that tells time of day when there is sunlight by apparent position of Sun in sky . In narrowest sense of word , it consists of flat plate ( dial ) gnomon , which casts shadow onto dial . As Sun appears to move across sky , shadow aligns solar energy which was converted into heat by three copper tubes , which pumped heated water into local heating system for neighbouring office block . To facilitate absorption top of gnomons length is coated with special paint . A smaller 148 scale model is on site along with equation of time table . Various communities have made largest sundial in claims ."
shadow,casts onto dial,gnomon,"As Sun appears to move across sky , shadow aligns solar energy which was converted into heat by three copper tubes , which pumped heated water into local heating system for neighbouring office block . To facilitate absorption top of gnomons length is coated with special paint . A smaller 148 scale model is on site along with equation of time table . Various communities have made largest sundial in claims ."
three copper tubes,pumped heated water into,local heating system,"As Sun appears to move across sky , shadow aligns solar energy which was converted into heat by three copper tubes , which pumped heated water into local heating system for neighbouring office block . To facilitate absorption top of gnomons length is coated with special paint . A smaller 148 scale model is on site along with equation of time table . Various communities have made largest sundial in claims ."
special paint,coated with,top of gnomons length,To facilitate absorption top of gnomons length is coated with special paint . A smaller 148 scale model is on site along with equation of time table . Various communities have made largest sundial in claims .
